%time(s) 	 x-pos 	 y-pos 
3.69000000e+00	-7.49715700e-01	9.84297387e-02
3.70000000e+00	-7.46613745e-01	1.15248576e-01
3.71000000e+00	-7.43112350e-01	1.31971047e-01
3.72000000e+00	-7.39215790e-01	1.48587727e-01
3.73000000e+00	-7.34928589e-01	1.65089417e-01
3.74000000e+00	-7.30255512e-01	1.81467154e-01
3.75000000e+00	-7.25201547e-01	1.97712213e-01
3.76000000e+00	-7.19771888e-01	2.13816115e-01
3.77000000e+00	-7.13971924e-01	2.29770631e-01
3.78000000e+00	-7.07807224e-01	2.45567785e-01
3.79000000e+00	-7.01283516e-01	2.61199856e-01
3.80000000e+00	-6.94406681e-01	2.76659381e-01
3.81000000e+00	-6.87182731e-01	2.91939156e-01
3.82000000e+00	-6.79617799e-01	3.07032231e-01
3.83000000e+00	-6.71718124e-01	3.21931913e-01
3.84000000e+00	-6.63490035e-01	3.36631763e-01
3.85000000e+00	-6.54939941e-01	3.51125595e-01
3.86000000e+00	-6.46074319e-01	3.65407465e-01
3.87000000e+00	-6.36899697e-01	3.79471678e-01
3.88000000e+00	-6.27422643e-01	3.93312772e-01
3.89000000e+00	-6.17649761e-01	4.06925521e-01
3.90000000e+00	-6.07587670e-01	4.20304920e-01
3.91000000e+00	-5.97243002e-01	4.33446189e-01
3.92000000e+00	-5.86622389e-01	4.46344755e-01
3.93000000e+00	-5.75732454e-01	4.58996253e-01
3.94000000e+00	-5.64579806e-01	4.71396513e-01
3.95000000e+00	-5.53171030e-01	4.83541552e-01
3.96000000e+00	-5.41512681e-01	4.95427568e-01
3.97000000e+00	-5.29611280e-01	5.07050930e-01
3.98000000e+00	-5.17473307e-01	5.18408165e-01
3.99000000e+00	-5.05105194e-01	5.29495958e-01
4.00000000e+00	-4.92513328e-01	5.40311134e-01
4.01000000e+00	-4.79704044e-01	5.50850653e-01
4.02000000e+00	-4.66683622e-01	5.61111600e-01
4.03000000e+00	-4.53458286e-01	5.71091173e-01
4.04000000e+00	-4.40034204e-01	5.80786681e-01
4.05000000e+00	-4.26417489e-01	5.90195527e-01
4.06000000e+00	-4.12614194e-01	5.99315207e-01
4.07000000e+00	-3.98630320e-01	6.08143293e-01
4.08000000e+00	-3.84471812e-01	6.16677432e-01
4.09000000e+00	-3.70144568e-01	6.24915334e-01
4.10000000e+00	-3.55654431e-01	6.32854766e-01
4.11000000e+00	-3.41007203e-01	6.40493543e-01
4.12000000e+00	-3.26208643e-01	6.47829524e-01
4.13000000e+00	-3.11264472e-01	6.54860600e-01
4.14000000e+00	-2.96180383e-01	6.61584695e-01
4.15000000e+00	-2.80962034e-01	6.67999756e-01
4.16000000e+00	-2.65615068e-01	6.74103747e-01
4.17000000e+00	-2.50145112e-01	6.79894646e-01
4.18000000e+00	-2.34557782e-01	6.85370442e-01
4.19000000e+00	-2.18858692e-01	6.90529128e-01
4.20000000e+00	-2.03053460e-01	6.95368703e-01
4.21000000e+00	-1.87147718e-01	6.99887163e-01
4.22000000e+00	-1.71147116e-01	7.04082506e-01
4.23000000e+00	-1.55057329e-01	7.07952725e-01
4.24000000e+00	-1.38884071e-01	7.11495811e-01
4.25000000e+00	-1.22633094e-01	7.14709753e-01
4.26000000e+00	-1.06310205e-01	7.17592535e-01
4.27000000e+00	-8.99212652e-02	7.20142142e-01
4.28000000e+00	-7.34722054e-02	7.22356561e-01
4.29000000e+00	-5.69690280e-02	7.24233779e-01
4.30000000e+00	-4.04178202e-02	7.25771794e-01
4.31000000e+00	-2.38247570e-02	7.26968615e-01
4.32000000e+00	-7.19611204e-03	7.27822266e-01
4.33000000e+00	9.46173778e-03	7.28330791e-01
4.34000000e+00	2.61423034e-02	7.28492264e-01
4.35000000e+00	4.28389787e-02	7.28304793e-01
4.36000000e+00	5.95450309e-02	7.27766527e-01
4.37000000e+00	7.62535994e-02	7.26875665e-01
4.38000000e+00	9.29576859e-02	7.25630464e-01
4.39000000e+00	1.09650153e-01	7.24029250e-01
4.40000000e+00	1.26323718e-01	7.22070426e-01
4.41000000e+00	1.42970950e-01	7.19752482e-01
4.42000000e+00	1.59584264e-01	7.17074009e-01
4.43000000e+00	1.76155924e-01	7.14033704e-01
4.44000000e+00	1.92678036e-01	7.10630391e-01
4.45000000e+00	2.09142550e-01	7.06863027e-01
4.46000000e+00	2.25541259e-01	7.02730711e-01
4.47000000e+00	2.41865801e-01	6.98232707e-01
4.48000000e+00	2.58107659e-01	6.93368450e-01
4.49000000e+00	2.74258162e-01	6.88137560e-01
4.50000000e+00	2.90308494e-01	6.82539857e-01
4.51000000e+00	3.06249695e-01	6.76575373e-01
4.52000000e+00	3.22072664e-01	6.70244366e-01
4.53000000e+00	3.37768172e-01	6.63547334e-01
4.54000000e+00	3.53326862e-01	6.56485029e-01
4.55000000e+00	3.68739264e-01	6.49058466e-01
4.56000000e+00	3.83995802e-01	6.41268940e-01
4.57000000e+00	3.99086803e-01	6.33118037e-01
4.58000000e+00	4.14002512e-01	6.24607643e-01
4.59000000e+00	4.28733103e-01	6.15739959e-01
4.60000000e+00	4.43268690e-01	6.06517510e-01
4.61000000e+00	4.57599346e-01	5.96943157e-01
4.62000000e+00	4.71715116e-01	5.87020100e-01
4.63000000e+00	4.85606032e-01	5.76751895e-01
4.64000000e+00	4.99262134e-01	5.66142455e-01
4.65000000e+00	5.12673482e-01	5.55196058e-01
4.66000000e+00	5.25830181e-01	5.43917351e-01
4.67000000e+00	5.38722395e-01	5.32311356e-01
4.68000000e+00	5.51340368e-01	5.20383474e-01
4.69000000e+00	5.63674443e-01	5.08139483e-01
4.70000000e+00	5.75715087e-01	4.95585539e-01
4.71000000e+00	5.87452904e-01	4.82728180e-01
4.72000000e+00	5.98878659e-01	4.69574315e-01
4.73000000e+00	6.09983300e-01	4.56131227e-01
4.74000000e+00	6.20757977e-01	4.42406567e-01
4.75000000e+00	6.31194063e-01	4.28408346e-01
4.76000000e+00	6.41283175e-01	4.14144925e-01
4.77000000e+00	6.51017188e-01	3.99625008e-01
